No.,Company,Sector,Publicly Listed ,Entry Valuation($B),Valuation ($B),Entry,Formar Unicorn,Location,Select Investors
91,Hasura,SaaS - Programming Tools,0,1,1,22-Feb,0,Bangalore,"Lightspeed Ventures, Nexus Venture Partners, Vertex, Strive VC"
92,CredAvenue,Marketplace - Lending,0,1.3,1.3,22-Mar,0,Chennai,"B Capital Group, Insight Venture Partners,  Lightrock India, TVS Capital"
93,Amagi Media Labs,SaaS - Local Ads Targeting,0,1,1,22-Mar,0,Bangalore,"Avataar Venture Partners, PremjiInvest, Accel India, Norwest"
94,Oxyzo Financial Services,Fintech - Marketplace - SME Lending,0,1,1,22-Mar,0,Gurgaon,"Alpha Wave Global, Matrix Partners India, Tiger Global, Norwest"
95,Games24x7,Gaming,0,2.5,2.5,22-Mar,0,Mumbai,"Tiger Global, Malabar Investments,  The Raine Group"
96,Open Financial Technologies,Fintech - Neo Bank,0,1,1,22-May,0,Karnataka,"3ONE4 Capital, Tiger Global, Temasek, Speedinvest"
97,PhysicsWallah,Edtech,0,1.1,1.1,22-Jun,0,Noida,"GSV Ventures, WestBridge"
98,Purplle,E-Commerce - Personal Care & Cosmetics,0,1.1,1.1,22-Jun,0,Mumbai,"JSW Ventures, IvyCap Ventures, Blume Ventures, Kedaara Capital"
99,Leadsquared,SaaS - CRM,0,1,1,22-Jun,0,Bangalore,"Stakeboat Capital, Gaja Capital, WestBridge"
100,OneCard,Fintech - Credit Cards,0,1.3,1.3,22-Jul,0,Pune,"QED Investors, Matrix Partners India, Sequoia Capital India"
101,Shiprocket,Aggregator - Logistics Services,0,1.23,1.23,22-Aug,0,Delhi,"Lightrock India, Info Edge, Tribe Capital, Temasek"
102,Molbio Diagnostics,Healthtech - Diagnostics,0,1.53,1.53,22-Sep,0,Goa,"Temasek, Motilal Oswal"
